time,y_1,y_2,width,y
0,0.689,0.823,2,0.766
5,0.766,0.689,2,0.789
10,0.789,0.766,2,1.082
15,1.082,0.789,2,0.466
20,0.466,1.082,2,0.82625
25,0.82625,0.466,2,0.738
30,0.738,0.82625,2,0.7977777778
35,0.7977777778,0.738,2,0.5733333333
40,0.5733333333,0.7977777778,2,0.566
45,0.566,0.5733333333,2,0.5055555556
50,0.5055555556,0.5055555556,2,0.649
55,0.649,0.5055555556,2,0.455
60,0.455,0.649,2,0.5922222222
65,0.5922222222,0.455,2,0.4188888889
70,0.4188888889,0.5922222222,2,0.71375
75,0.71375,0.4188888889,2,0.08
80,0.08,0.71375,2,0.4875
85,0.4875,0.08,2,0.561
90,0.561,0.4875,2,0.378
95,0.378,0.561,2,0.1544444444
100,0.1544444444,0.378,2,0.5625
105,0.5625,0.1544444444,2,0.0866666667
110,0.0866666667,0.5625,2,0.1733333333
115,0.1733333333,0.0866666667,2,0.4144444444
120,0.4144444444,0.1733333333,2,0.395
125,0.395,0.4144444444,2,0.206
130,0.206,0.395,2,0.4144444444
135,0.4144444444,0.206,2,0.2655555556
140,0.2655555556,0.4144444444,2,0.228
145,0.228,0.2655555556,2,0.41
150,0.41,0.228,2,0.3644444444
155,0.3644444444,0.41,2,0.625
160,0.625,0.3644444444,2,0.517
165,0.517,0.625,2,0.1911111111
170,0.1911111111,0.517,2,0.078
175,0.078,0.1911111111,2,0.3333333333
180,0.3333333333,0.078,2,0.6288888889
185,0.6288888889,0.3333333333,2,0.3944444444
190,0.3944444444,0.6288888889,2,0.761
195,0.761,0.3944444444,2,0.9688888889
200,0.9688888889,0.761,2,0.44
205,0.44,0.9688888889,2,0.2
210,0.2,0.44,2,0.423
215,0.423,0.2,2,1.16
220,1.16,0.423,2,1.237
225,1.237,1.16,2,1.412
230,1.412,1.237,2,1.362
235,1.362,1.412,2,1.873
240,1.873,1.362,2,1.211
245,1.211,1.873,2,1.978
250,1.978,1.211,2,2.294
255,2.294,1.978,2,2.028
260,2.028,2.294,2,2.379
265,2.379,2.028,2,3.439
270,3.439,2.379,2,3.668
275,3.668,3.439,2,5.62
280,5.62,3.668,2,4.323
285,4.323,5.62,2,5.916
290,5.916,4.323,2,4.445
295,4.445,5.916,2,5.171
300,5.171,4.445,2,4.599
305,4.599,5.171,2,4.899
310,4.899,4.599,2,4.772
315,4.772,4.899,2,7.49
320,7.49,4.772,2,6.428
325,6.428,7.49,2,7.679
330,7.679,6.428,2,9.618
335,9.618,7.679,2,8.211
340,8.211,9.618,2,10.667
345,10.667,8.211,2,8.782
350,8.782,10.667,2,8.899
355,8.899,8.782,2,9.861
360,9.861,8.899,2,6.556
365,6.556,9.861,2,7.127
370,7.127,6.556,2,11.372
375,11.372,7.127,2,9.4
380,9.4,11.372,2,8.706
385,8.706,9.4,2,9.878
390,9.878,8.706,2,8.446
395,8.446,9.878,2,10.801
400,10.801,8.446,2,12.607
405,12.607,10.801,2,11
410,11,12.607,2,9.367
415,9.367,11,2,10.522
420,10.522,9.367,2,9.033
425,9.033,10.522,2,7.54
430,7.54,9.033,2,8.322
435,8.322,7.54,2,11.535
440,11.535,8.322,2,11.35
445,11.35,11.535,2,13.877
450,13.877,11.35,2,12.195
455,12.195,13.877,2,12.612
460,12.612,12.195,2,14.018
465,14.018,12.612,2,11.761
470,11.761,14.018,2,10.523
475,10.523,11.761,2,10.778
480,10.778,10.523,2,6.884
485,6.884,10.778,2,11.189
490,11.189,6.884,2,9.282
495,9.282,11.189,2,9.834
500,9.834,9.282,2,8.65
505,8.65,9.834,2,8.652
510,8.652,8.65,2,12.035
515,12.035,8.652,2,10.145
520,10.145,12.035,2,11.962
525,11.962,10.145,2,10.195
530,10.195,11.962,2,13.528
535,13.528,10.195,2,9.971
540,9.971,13.528,2,8.245
545,8.245,9.971,2,8.417
550,8.417,8.245,2,7.434
555,7.434,8.417,2,10.145
560,10.145,7.434,2,9.655
565,9.655,10.145,2,7.678
570,7.678,9.655,2,7.751
575,7.751,7.678,2,7.429
580,7.429,7.751,2,9.399
585,9.399,7.429,2,8.541
590,8.541,9.399,2,7.188
595,7.188,8.541,2,8.116
600,8.116,7.188,2,6.25
605,6.25,8.116,2,8.662
610,8.662,6.25,2,7.101
615,7.101,8.662,2,7.405
620,7.405,7.101,2,6.695
625,6.695,7.405,2,7.173
630,7.173,6.695,2,7.541
635,7.541,7.173,2,8.928
640,8.928,7.541,2,6.816
645,6.816,8.928,2,8.555
650,8.555,6.816,2,7.661
655,7.661,8.555,2,6.773
660,6.773,7.661,2,6.407
665,6.407,6.773,2,9.855
670,9.855,6.407,2,7.606
675,7.606,9.855,2,7.266
680,7.266,7.606,2,8.856
685,8.856,7.266,2,6.888
690,6.888,8.856,2,8.582
695,8.582,6.888,2,9.016
700,9.016,8.582,2,7.638
705,7.638,9.016,2,7.891
710,7.891,7.638,2,8.484
715,8.484,7.891,2,6.311
720,6.311,8.484,2,8.149
725,8.149,6.311,2,7.578
730,7.578,8.149,2,7.455
735,7.455,7.578,2,7.452
740,7.452,7.455,2,7.122
745,7.122,7.452,2,7.877
750,7.877,7.122,2,8.723
755,8.723,7.877,2,7.94
760,7.94,8.723,2,8.495
765,8.495,7.94,2,9.678
770,9.678,8.495,2,9.094
775,9.094,9.678,2,7.338
780,7.338,9.094,2,7.073
785,7.073,7.338,2,8.218
790,8.218,7.073,2,9.038
795,9.038,8.218,2,10.789
800,10.789,9.038,2,9.735
805,9.735,10.789,2,8.405
810,8.405,9.735,2,9.857
815,9.857,8.405,2,10.146
820,10.146,9.857,2,8.794
825,8.794,10.146,2,8.516
830,8.516,8.794,2,8.628
835,8.628,8.516,2,8.639
840,8.639,8.628,2,8.095
845,8.095,8.639,2,8.344
850,8.344,8.095,2,8.266
855,8.266,8.344,2,8.739
860,8.739,8.266,2,10.23
865,10.23,8.739,2,9.571
870,9.571,10.23,2,9.089
875,9.089,9.571,2,10.468
880,10.468,9.089,2,10.995
885,10.995,10.468,2,11.1
890,11.1,10.995,2,10.746
895,10.746,11.1,2,9.112
900,9.112,10.746,2,10.056
905,10.056,9.112,2,11.345
910,11.345,10.056,2,11.768
915,11.768,11.345,2,9.173
920,9.173,11.768,2,12.801
925,12.801,9.173,2,12.523
930,12.523,12.801,2,10.344
935,10.344,12.523,2,10.537
940,10.537,10.344,2,14.399
945,14.399,10.537,2,11.947
950,11.947,14.399,2,13.572
955,13.572,11.947,2,11.6
960,11.6,13.572,2,12.135
965,12.135,11.6,2,10.289
970,10.289,12.135,2,12.958
975,12.958,10.289,2,14.361
980,14.361,12.958,2,11.923
985,11.923,14.361,2,13.227
990,13.227,11.923,2,12.216
995,12.216,13.227,2,17.487
1000,17.487,12.216,2,15.901
1005,15.901,17.487,2,12.916
1010,12.916,15.901,2,12.006
1015,12.006,12.916,2,12.806
1020,12.806,12.006,2,12.544
1025,12.544,12.806,2,13.561
1030,13.561,12.544,2,16.671
1035,16.671,13.561,2,13.144
1040,13.144,16.671,2,12.906
1045,12.906,13.144,2,15.978
1050,15.978,12.906,2,11.995
1055,11.995,15.978,2,11.983
1060,11.983,11.995,2,9.879
1065,9.879,11.983,2,10.961
1070,10.961,9.879,2,10.507
1075,10.507,10.961,2,13.07
1095,9.728,8.2771428571,2,9.55
1100,9.55,9.728,2,8.123
1105,8.123,9.55,2,9.935
1110,9.935,8.123,2,7.596
1115,7.596,9.935,2,9.744
1120,9.744,7.596,2,8.328
1125,8.328,9.744,2,7.807
1130,7.807,8.328,2,6.728
1135,6.728,7.807,2,6.367
1140,6.367,6.728,2,6.345
1145,6.345,6.367,2,5.54
1150,5.54,6.345,2,5.641
1155,5.641,5.54,2,5.907
1160,5.907,5.641,2,4.59
1165,4.59,5.907,2,5.294
1170,5.294,4.59,2,4.856
1175,4.856,5.294,2,5.562
1180,5.562,4.856,2,5.437
1185,5.437,5.562,2,3.584
1190,3.584,5.437,2,4.528
1195,4.528,3.584,2,4.005
1200,4.005,4.528,2,4.449
1205,4.449,4.005,2,4.939
1210,4.939,4.449,2,4.583
1215,4.583,4.939,2,5.983
1220,5.983,4.583,2,4.456
1225,4.456,5.983,2,4.978
1230,4.978,4.456,2,4.332
1235,4.332,4.978,2,4.482
1240,4.482,4.332,2,4.306
1245,4.306,4.482,2,3.128
1250,3.128,4.306,2,3.917
1255,3.917,3.128,2,2.588
1260,2.588,3.917,2,3.618
1265,3.618,2.588,2,3.449
1270,3.449,3.618,2,3.177
1275,3.177,3.449,2,3.133
