time,y_1,y_2,width,y
350,10.427999999999999,9.794,3,9.316
830,8.516,8.794,2,8.628
340,4.75,4.995,3,4.838
145,0.228,0.523,3,0.638
115,0.54,0.58,3,0.156
185,0.539,0.301,3,0.16699999999999998
780,10.960999999999999,11.444,3,11.433
540,6.6610000000000005,5.872999999999999,3,5.994444444400001
850,13.599,13.966,3,17.049
815,12.533,10.767999999999999,3,13.434000000000001
295,3.4010000000000002,3.4010000000000002,3,2.234
325,7.155,5.8660000000000005,3,7.271
1295,5.1610000000000005,5.1610000000000005,3,5.194
880,11.667,8.406,3,9.133
1025,14.1555555556,14.937999999999999,3,15.084000000000001
520,10.145,12.035,2,11.962
230,1.412,1.237,2,1.3619999999999999
1015,12.198888888900001,13.144,3,14.937999999999999
800,8.65,6.5,3,7.416666666699999
240,1.026,0.69,3,0.816
335,8.661,6.4270000000000005,3,8.449
1165,5.377000000000001,7.138999999999999,2,6.25
1390,3.787,3.965,3,3.071
900,13.384,14.783,3,12.757
515,12.322000000000001,11.949000000000002,3,13.345
185,0.38875,0.37200000000000005,2,0.9440000000000001
120,0.26375,1.01,3,0.278
1055,19.660999999999998,19.749000000000002,3,16.044
1390,2.201,2.178,3,3.5610000000000004
1075,12.955,12.18,3,11.495
865,9.383,9.994,3,11.515999999999998
995,14.1828571429,14.1828571429,3,15.263333333299999
995,20.511,18.344,3,19.656
190,0.713,0.38299999999999995,3,0.239
270,3.245,2.634,2,4.632
1065,15.607000000000001,15.0444444444,3,11.917
95,0.639,0.639,3,0.561
1340,5.754,6.155,3,5.494
1045,13.774000000000001,14.524000000000001,2,13.944
1405,1.57,1.1757142857,3,1.195
600,3.5611111111000002,3.5611111111000002,3,9.11
95,0.07200000000000001,0.161,3,0.467
95,0.42700000000000005,0.42700000000000005,3,0.65
1290,3.372,2.9560000000000004,2,3.238
1030,14.09,14.09,3,14.729000000000001
1210,4.939,4.449,2,4.583
935,11.715,12.006666666700001,3,10.77875
435,14.44,13.522,3,14.762
135,0.462,0.884,3,0.523
360,7.478,9.539,2,8.045
1430,2.4219999999999997,2.083,3,1.8769999999999998
1395,1.456,1.777,2,1.6059999999999999
1200,6.257000000000001,5.806,3,4.473
590,4.346,5.0244444444,3,4.694
1225,4.828,4.4857142857,3,5.033
620,11.86,9.689,3,9.39
940,23.721999999999998,22.055,3,21.888
240,0.6375,0.48666666670000003,3,1.08
605,10.517000000000001,10.111,3,9.104
305,4.611000000000001,4.26,2,4.066
565,6.205,3.9,3,4.272
235,1.412,1.278,2,1.715
1190,4.534,6.129,2,3.909
470,18.29,19.082,3,18.616
240,0.516,1.1,3,0.588
545,5.0280000000000005,4.377,3,4.477
1345,5.494,5.754,3,4.766
1430,1.21,1.0170000000000001,2,0.728
110,0.789,0.594,3,1.01
1160,6.2225,7.928,3,5.55
355,9.316,10.427999999999999,3,8.221
760,9.294,8.716000000000001,2,10.038
730,7.577999999999999,8.149,2,7.455
210,0.3342857143,0.42666666670000003,3,0.9644444444
765,10.856,11.123,3,12.056
720,7.61125,5.7088888889,3,6.446000000000001
80,0.66,0.86125,3,0.66
1375,2.544,2.917,3,2.294
1125,10.09,9.472000000000001,3,8.34
585,9.277999999999999,8.445,2,7.077000000000001
70,0.9440000000000001,0.705,3,0.544
665,4.773,4.773,3,5.078
240,1.639,1.4880000000000002,2,1.251
1000,15.263333333299999,15.263333333299999,3,11.855
205,0.489,0.489,3,1.122
635,7.541,7.172999999999999,2,8.927999999999999
870,9.493,8.57625,3,10.556
705,8.163,9.982999999999999,2,6.773
5,0.6729999999999999,0.478,2,1.068
160,0.32,0.4,3,0.3085714286
1065,13.232999999999999,16.706,2,11.061
815,6.61,8.3522222222,3,8.367
165,0.222,0.4188888889,3,0.3266666667
775,11.444,12.056,3,10.960999999999999
670,9.855,6.407,2,7.606
1070,13.878,13.878,3,13.594000000000001
215,0.972,0.6111111111,2,1.061
1070,11.061,13.232999999999999,2,14.129000000000001
1210,5.228,6.801,2,5.292000000000001
805,11.182,8.744,2,7.567
800,10.789000000000001,9.038,2,9.735
670,5.27,6.305,3,4.91875
335,4.861000000000001,3.4928571429,3,3.4811111111
360,7.066,10.822000000000001,3,8.25
140,0.312,0.645,3,0.285
1230,6.084,4.671,2,5.4270000000000005
1155,7.94,6.766,2,8.221
125,0.389,0.9022222222,2,0.44444444439999997
1165,7.327999999999999,8.773,3,8.856
185,0.38299999999999995,0.37799999999999995,3,0.713
1035,14.6,15.084000000000001,3,14.401
1030,25.395,20.483,3,20.355
1225,5.638999999999999,7.623333333300001,3,4.7777777778
1130,10.533,10.187999999999999,3,9.745
10,0.955,1.8414285713999998,3,1.0855555556
1025,12.18,14.195,2,14.25
1075,15.4983333333,11.917,3,14.40125
85,0.516,0.516,3,0.534
470,7.0889999999999995,6.17375,3,5.727
280,5.62,3.668,2,4.323
1275,5.5611111111,4.15,3,4.628
1185,6.455,6.455,3,6.132999999999999
40,0.82,0.6466666667000001,3,0.8466666667
485,6.845,6.845,3,5.24
1145,6.345,6.367000000000001,2,5.54
455,7.456,6.2528571429,3,6.23
1035,20.355,25.395,3,20.372
175,1.012,0.6829999999999999,3,0.301
715,7.646,6.773,2,7.6555555555999995
185,0.355,0.32,3,0.3675
1155,10.527999999999999,8.277999999999999,3,8.967
1265,2.972,2.3169999999999997,2,2.9339999999999997
1410,1.64,1.335,2,1.9069999999999998
75,0.695,0.7120000000000001,3,0.94
860,12.685,12.515999999999998,3,15.849
260,1.18125,1.16875,3,1.406
145,0.2057142857,0.0,3,1.1814285714
80,0.08,0.71375,2,0.4875
900,11.384,10.533,2,12.305
320,2.52,2.655,3,2.3775
1010,23.410999999999998,17.144000000000002,3,18.232
75,0.86125,0.3171428571,3,0.66
1400,2.622,3.5610000000000004,3,2.039
605,6.25,8.116,2,8.662
1070,11.917,15.607000000000001,3,15.4983333333
1120,8.539,9.95,2,11.128
1155,7.928,4.9925,3,6.2225
955,12.789000000000001,14.238571428599998,2,13.741111111099999
695,6.977,7.361000000000001,2,8.334
1215,5.005,6.0166666667,3,4.4857142857
1125,11.128,8.539,2,9.289
425,5.189,6.055714285700001,3,6.688
765,8.495,7.94,2,9.677999999999999
785,6.1477777778,6.535,3,6.4214285714
195,0.07200000000000001,0.07200000000000001,3,0.444
30,1.351,0.9209999999999999,3,1.4669999999999999
25,0.9209999999999999,1.301,3,1.351
1395,3.0380000000000003,3.4160000000000004,3,2.9610000000000003
1200,7.195,8.599,3,7.466
230,0.9890000000000001,0.9890000000000001,3,1.062
840,8.122,7.9079999999999995,2,9.122
440,8.8328571429,8.8328571429,3,5.8825
675,7.545,9.339,2,8.378
495,4.85,5.0557142857,3,8.215
845,9.122,8.122,2,9.606
305,1.8459999999999999,2.6830000000000003,3,2.086
1045,25.994,18.166,3,17.555999999999997
1230,4.7777777778,5.638999999999999,3,4.0555555556
95,0.37799999999999995,0.561,2,0.1544444444
1285,7.439,8.155,3,7.261
1005,12.4816666667,14.612,2,14.4077777778
